FOI Number,FOI Date (Machine),FOI Date (Human),FOI Title,FOI URL,PDF INDEX,PDF COUNT,PDF URL,Processed
4546-2023,2023-08-17T12:00:00Z,17 August 2023,FOI 4546 – documents released,https://www.health.gov.au/resources/foi-disclosure-log/foi-4546-documents-released,1,1,https://www.health.gov.au/sites/default/files/2023-08/foi-4546-documents-released.pdf,Downloaded
4437-2023,2023-08-11T12:00:00Z,11 August 2023,FOI 4437 – release documents – Communications to Michael Lye regarding Yallambee Lodge Incident,https://www.health.gov.au/resources/foi-disclosure-log/foi-4437-release-documents-communications-to-michael-lye-regarding-yallambee-lodge-incident,1,1,https://www.health.gov.au/sites/default/files/2023-08/foi-4437-release-documents-communications-to-michael-lye-regarding-yallambee-lodge-incident.pdf,Downloaded
4522-2023,2023-08-04T12:00:00Z,4 August 2023,FOI 4522 - document released,https://www.health.gov.au/resources/foi-disclosure-log/foi-4522-document-released,1,1,https://www.health.gov.au/sites/default/files/2023-08/foi-4522---document-released.pdf,Downloaded
4045-2023,2023-08-01T12:00:00Z,1 August 2023,FOI 4045 – release documents – Memorandum of Understanding with Medical Technology Association of Australia (MTAA) – Minister Hunt,https://www.health.gov.au/resources/foi-disclosure-log/foi-4045-release-documents-memorandum-of-understanding-with-medical-technology-association-of-australia-mtaa-minister-hunt-0,1,1,https://www.health.gov.au/sites/default/files/2023-08/foi-4045-release-documents-memorandum-of-understanding-with-medical-technology-association-of-australia-mtaa-minister-hunt.pdf,Downloaded
4046-2023,2023-08-01T12:00:00Z,1 August 2023,FOI 4046 – release documents – Memorandum of Understanding with the Medical Technology Association of Australia (MTAA) – Minister Butler,https://www.health.gov.au/resources/foi-disclosure-log/foi-4046-release-documents-memorandum-of-understanding-with-the-medical-technology-association-of-australia-mtaa-minister-butler-0,1,1,https://www.health.gov.au/sites/default/files/2023-08/foi-4046-release-documents-memorandum-of-understanding-with-the-medical-technology-association-of-australia-mtaa-minister-butler.pdf,Downloaded
4293-2023,2023-07-31T12:00:00Z,31 July 2023,FOI 4293 – Internal Review – Facebook posts and Tweets categorised as “Misleading Information”,https://www.health.gov.au/resources/foi-disclosure-log/foi-4293-internal-review-facebook-posts-and-tweets-categorised-as-misleading-information,1,3,https://www.health.gov.au/sites/default/files/2023-07/foi-4293-internal-review-facebook-posts-and-tweets-categorised-as-misleading-information.pdf,Downloaded
4293-2023,2023-07-31T12:00:00Z,31 July 2023,FOI 4293 – Internal Review – Facebook posts and Tweets categorised as “Misleading Information”,https://www.health.gov.au/resources/foi-disclosure-log/foi-4293-internal-review-facebook-posts-and-tweets-categorised-as-misleading-information,2,3,https://www.health.gov.au/sites/default/files/2023-08/foi_4293_-_internal_review_-_facebook_posts_and_tweets_categorised_as_misleading_information_-_part_2.pdf,Downloaded
4293-2023,2023-07-31T12:00:00Z,31 July 2023,FOI 4293 – Internal Review – Facebook posts and Tweets categorised as “Misleading Information”,https://www.health.gov.au/resources/foi-disclosure-log/foi-4293-internal-review-facebook-posts-and-tweets-categorised-as-misleading-information,3,3,https://www.health.gov.au/sites/default/files/2023-07/foi_4293_-_internal_review_-_facebook_posts_and_tweets_categorised_as_misleading_information_-_part_3.pdf,Downloaded
4513-2023,2023-07-28T12:00:00Z,28 July 2023,FOI 4513 – released document,https://www.health.gov.au/resources/foi-disclosure-log/foi-4513-released-document,1,1,https://www.health.gov.au/sites/default/files/2023-08/foi-4513-released-document.pdf,Downloaded
4470-2023,2023-07-24T12:00:00Z,24 July 2023,FOI 4470 - Emails between the Department and PM&C regarding CHHP Grants,https://www.health.gov.au/resources/foi-disclosure-log/foi-4470-emails-between-the-department-and-pmc-regarding-chhp-grants,1,1,https://www.health.gov.au/sites/default/files/2023-08/foi-4470---emails-between-the-department-and-pm-c-regarding-chhp-grants.pdf,Downloaded
